一山如畫對清江 門裏團圓事事雙 誰料半途分折去 空幃無語對銀缸
君是山中萬戶侯 信知騎馬勝騎牛 今朝馬上看山色 爭似騎牛得自由
我本天仙雷雨師 吉凶禍福我先知 至誠禱祝皆靈應 抽得終籤百事宜
我曾許汝事和諧 誰料修為汝自乖 但改新圖莫依舊 營謀應得稱心懷
事端百出慮雖長 莫聽人言自主張 一著仙機君記取 紛紛鬧裏更思量
兩家門戶各相當 不是姻緣莫較量 直待春風好消息 卻調琴瑟向蘭房
兩家門戶各相當 不是姻緣莫較量 直待春風好消息 卻調琴瑟向蘭房
奉公謹守莫欺心 自有亨通吉利臨 目下營求且休矣 秋期與子定佳音
彼亦儔中一輩賢 勸君特達與周旋 此時賓主歡相會 他日王侯卻並肩
彼此家居只一山 如何似隔鬼門關 日月如梭人易老 許多勞碌不如閒
河渠傍路有高低 可歎長途日已西 縱有榮華好時節 直須猴犬換金雞
知君指擬是空華 底事茫茫未有涯 牢把腳根踏實地 善為善應永無差
知君袖內有驪珠 生不逢辰亦強圖 可歎頭顱已如許 而今方得貴人扶
花開花謝在春風 貴賤窮通百歲中 羨子榮華今已矣 到頭萬事總成空
門衰戶冷苦伶仃 自嘆祈求不一靈 幸有祖宗陰騭在 香煙未斷續螟蛉
南販珍珠北販鹽 年來幾倍貨財添 勸君止此求田舍 心欲多時何日厭
春來雨水太連綿 入夏晴乾雨又愆 節氣直交三伏始 喜逢滂沛足田園
春夏纔過秋又冬 紛紛謀慮攪心胸 貴人垂手來相援 休把私心情意濃
秋冬作事只尋常 春到門庭漸吉昌 千里信音符遠望 萱堂快樂未渠央
家道豊腴自飽溫 也須肚裏立乾坤 財多害己君當省 福有胚胎禍有門
朔風凜凜正窮冬 多羨門庭喜氣濃 更入新春人事後 衷言方得信先容
病患時時命蹇衰 何須打瓦共鑽龜 直教重見一陽復 始可求神仗佛持
耕耘只可在鄉邦 何用求謀向外方 見說今年新運好 門闌喜氣事雙雙
乾亥來龍仔細看 坎居午向自當安 若移丑艮陰陽逆 門戶凋零家道難
假君財物自當還 謀賴心欺他自奸 幸有高臺明月鏡 請來對照破機關
婚姻子息莫嫌遲 但把精神仗佛持 四十年前須報應 功圓行滿育馨兒
崆峒城裏事如麻 無事如君有幾家 勸汝不須勤致禱 徒勞生事苦咨嗟
崔巍崔魏復崔巍 履險如夷去復來 身似菩提心似鏡 長安一道放春回
從前作事總徒勞 纔見新春時漸遭 百計營求都得意 更須守己莫心高
捨舟遵路總相宜 慎勿嬉遊逐貴兒 一夜樽前兄與弟 明朝仇敵又相隨
望渠消息向長安 常把菱花仔細看 見說文書將入境 今朝喜色上眉端
陰裏詳看怪爾曹 舟中敵圖笑中刀 藩籬剖破渾無事 一種天生惜羽毛
勞心汨汨竟何歸 疾病兼多是與非 事到頭來渾似夢 何如休要用心機
喜鵲簷前報好音 知君千里欲歸心 繡幃重結鴛鴦帶 葉落霜飛寒色侵
焚香來告復何辭 善惡平分汝自知 屏卻昧公心裏事 出門無礙是通時
登山涉水正天寒 兄弟姻親那得安 幸遇虎頭人一喚 全家遂保汝重歡
蛩吟唧唧守孤幃 千里懸懸望信歸 等得榮華公子到 秋冬括括雨靡靡
貴人遭遇水雲鄉 冷淡交情滋味長 黃閣開時延故客 驊騮應得驟康莊
勤耕力作莫蹉跎 衣食隨時安分過 縱使經商收倍利 不如逐歲廩禾多
嗟子從來未得時 今年星運頗相宜 營求動作都如意 和合婚姻誕貴兒
新來換得好規模 何用隨他步與趨 只聽耳邊消息到 崎嶇歷盡見亨衢
經營百出費精神 南北奔馳運未新 玉兔交時當得意 恰如枯木再逢春
萬人叢裏逞英豪 便欲飛騰霄漢高 爭奈承流風未便 青燈黃卷且勤勞
雷雨風雲各有司 至誠禱告莫生疑 與君定約為霖日 正是蘊隆中伏時
碧玉池中開白蓮 莊嚴色相自天然 生來骨格超凡俗 正是人間第一仙
箇中事緒更紛然 當局須知一著先 長舌婦人休酷聽 力行禮義要心堅
與君夙昔結成冤 今日相逢那得緣 好把經文多諷誦 祈求戶內保嬋娟
與君萬語復千言 祗欲平和雪爾冤 訟則終凶君記取 試於清夜把心捫
嘯聚山林兇惡儔 善良無事苦煎憂 主人大笑出門去 不用干戈盜賊休
憶昔蘭房分半釵 而今忽把信音乖 痴心指望成連理 到底誰知事不諧
樽前無事且高歌 時未來時奈若何 白馬渡江嘶日暮 虎頭城裏看巍峨
隨分堂前赴粥饘 何須妄想苦憂煎 主張門戶誠難事 百歲安閒得幾年
營為期望在春前 誰料秋來又不然 直遇清江貴公子 一生活計始安全
艱難險阻路蹊蹺 南鳥孤飛依北巢 今日貴人曾識面 相逢卻在夏秋交
蘇秦三寸足平生 富貴功名在此行 更好修為陰騭事 前程萬里自通亨
巍巍獨步向雲間 玉殿千官第一班 富貴榮華天付汝 福如東海壽如山
曩時敗北且圖南 筋力雖衰尚一堪 欲識生前君大數 前三三與後三三
纔發君心天已知 何須問我決狐疑 願子改圖從孝悌 不愁家室不相宜
